Metric,Value
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,8
design__max_fanout_violation__count__corner:max_ss_100C_1v60,5
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.25934358172834865
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.25884992104648735
timing__hold__ws__corner:max_ss_100C_1v60,0.802154143591143
timing__setup__ws__corner:max_ss_100C_1v60,3.8346269467344953
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.905908
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,4.411510
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,5
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.2568093033139381
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.25384992049137584
timing__hold__ws__corner:max_ff_n40C_1v95,0.11715445611893331
timing__setup__ws__corner:max_ff_n40C_1v95,6.55408057488238
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.117154
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,7
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79916
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79963
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000835754
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000843038
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000328978
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000843038
design_powergrid__voltage__worst,0.000843038
design_powergrid__voltage__worst__net:VPWR,1.79916
design_powergrid__drop__worst,0.000843038
design_powergrid__drop__worst__net:VPWR,0.000835754
design_powergrid__voltage__worst__net:VGND,0.000843038
design_powergrid__drop__worst__net:VGND,0.000843038
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000375000000000000007806255641895631924853660166263580322265625
ir__drop__worst,0.000836000000000000046025683264616645828937180340290069580078125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
